order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
1,1,1,1,2017-09-19 09:45:35,58.9,13.29
2,1,2,2,2017-05-03 11:05:13,239.9,19.93
3,1,3,3,2018-01-18 14:48:30,199.0,17.87
4,1,4,4,2018-08-15 10:10:18,12.99,12.79
5,1,5,5,2017-02-13 13:57:51,199.9,18.14
6,1,6,6,2017-05-23 03:55:27,21.9,12.69
7,1,7,7,2017-12-14 12:10:31,19.9,11.85
8,1,8,8,2018-07-10 12:30:45,810.0,70.75
9,1,9,9,2018-03-26 18:31:29,145.95,11.65
10,1,10,10,2018-07-06 14:10:56,53.99,11.4
11,1,11,11,2018-03-29 22:28:09,59.99,8.88
12,1,12,12,2018-07-31 17:30:39,45.0,12.98
13,1,13,13,2018-07-26 17:24:20,74.0,23.32
14,1,14,14,2018-02-21 02:55:52,49.9,13.37
14,2,14,14,2018-02-21 02:55:52,49.9,13.37
15,1,15,15,2018-08-17 12:15:10,99.9,27.65
16,1,16,16,2018-05-02 09:31:53,639.0,11.34
17,1,17,17,2018-05-16 20:57:03,144.0,8.77
18,1,18,18,2017-08-21 03:33:13,99.0,13.71
19,1,19,19,2018-02-28 12:08:37,25.0,16.11
20,1,20,20,2018-03-29 20:07:49,47.9,8.88
21,1,21,21,2017-11-27 19:09:02,21.99,11.85
22,1,22,22,2018-03-21 11:10:11,119.99,44.4
23,1,23,23,2018-03-05 09:35:41,49.0,15.1
24,1,24,24,2017-09-15 18:04:37,48.9,16.6
25,1,25,25,2017-08-11 00:35:12,219.9,16.98
26,1,26,26,2018-01-29 21:51:25,289.0,26.33
27,1,27,27,2017-03-29 13:05:42,109.9,25.51
28,1,28,28,2018-06-14 05:16:24,27.9,7.94
29,1,29,29,2017-12-13 03:16:36,119.9,17.32
30,1,30,30,2017-11-30 06:30:55,397.0,24.65
31,1,31,31,2018-04-12 19:08:28,59.9,23.35
32,1,32,32,2017-10-20 16:07:52,21.33,15.1
32,2,32,32,2017-10-20 16:07:52,21.33,15.1
32,3,32,32,2017-10-20 16:07:52,21.33,15.1
33,1,33,33,2017-05-29 03:15:24,16.5,14.1
34,1,34,34,2018-01-18 09:11:24,21.9,15.1
35,1,35,35,2018-01-23 03:35:47,39.0,16.11
36,1,36,36,2017-05-05 10:05:12,49.75,20.8
37,1,37,37,2017-04-24 22:25:19,809.1,44.29
38,1,38,38,2018-02-13 19:10:37,99.99,13.72
39,1,31,31,2018-03-12 06:50:26,59.9,19.95
40,1,39,39,2018-01-04 02:33:42,24.89,17.63
40,2,39,39,2018-01-04 02:33:42,24.89,17.63
40,3,39,39,2018-01-04 02:33:42,24.89,17.63
41,1,40,40,2018-07-10 02:51:10,54.0,8.54
42,1,41,41,2018-04-02 17:50:17,81.99,13.01
43,1,42,13,2017-11-29 22:38:47,99.0,13.71
44,1,43,42,2017-05-18 17:35:11,18.99,7.78
44,2,43,42,2017-05-18 17:35:11,18.99,7.78
45,1,44,43,2017-05-25 02:15:20,38.33,16.79
46,1,45,13,2017-02-01 13:17:57,69.9,18.0
47,1,46,44,2017-03-23 11:47:37,195.0,18.21
48,1,47,45,2018-05-22 10:59:50,35.9,15.2
49,1,48,46,2017-12-04 09:58:07,79.5,21.05
50,1,49,47,2017-08-21 03:03:44,29.99,15.1
51,1,50,48,2018-04-26 12:30:57,109.9,13.21
52,1,51,49,2018-04-10 16:50:11,74.9,16.49
53,1,52,50,2018-04-02 16:35:20,14.95,18.23
54,1,53,51,2018-05-14 22:14:46,149.9,43.11
55,1,54,52,2018-01-03 17:59:35,19.99,14.1
56,1,55,53,2018-07-10 09:30:09,390.0,29.39
57,1,56,54,2018-03-07 02:49:09,135.0,21.75
58,1,57,55,2017-02-06 21:18:03,104.0,16.43
59,1,58,56,2017-11-10 21:26:45,149.0,15.8
60,1,59,57,2017-12-04 03:32:47,279.9,13.46
61,1,60,58,2018-02-27 11:55:57,44.9,23.22
62,1,61,21,2018-07-26 17:44:36,37.99,19.18
63,1,62,53,2018-08-21 03:35:17,29.99,15.31
64,1,63,59,2017-12-22 15:51:31,120.0,15.59
65,1,64,60,2018-09-03 03:50:23,492.75,21.62
66,1,65,61,2018-05-08 12:14:52,94.9,18.54
67,1,66,62,2018-02-22 19:46:50,88.34,21.11
68,1,67,38,2017-06-26 22:10:14,199.99,65.56
69,1,68,63,2018-03-15 10:35:37,99.9,19.67
70,1,69,64,2018-05-21 17:32:03,78.0,8.9
70,2,69,64,2018-05-21 17:32:03,78.0,8.9
71,1,70,17,2017-11-27 03:47:23,155.0,14.84
72,1,71,65,2018-07-04 17:11:12,249.9,34.23
73,1,72,66,2018-03-27 13:15:27,53.98,23.31
74,1,73,67,2017-08-10 09:30:15,8.99,32.57
74,2,74,68,2017-08-10 09:30:15,44.9,7.16
75,1,75,69,2017-11-29 23:13:38,60.6,17.67
76,1,76,70,2018-04-06 17:10:21,225.0,67.24
77,1,77,71,2018-08-17 15:04:25,39.9,15.38
78,1,78,72,2018-04-17 09:12:11,76.0,34.07
79,1,79,73,2018-03-15 19:28:51,159.0,27.19
80,1,80,74,2017-05-24 19:22:34,102.9,14.45
80,2,80,74,2017-05-24 19:22:34,102.9,14.45
81,1,81,75,2017-07-28 03:45:26,63.9,16.89
82,1,82,76,2018-05-02 22:10:29,168.8,8.21
83,1,83,77,2017-09-29 17:50:16,59.9,9.94
83,2,84,77,2017-09-29 17:50:16,59.9,9.94
84,1,85,78,2018-07-18 04:25:09,232.75,28.58
85,1,86,79,2018-08-23 15:11:40,48.9,18.44
86,1,87,13,2017-08-23 01:25:39,87.0,12.11
87,1,88,80,2017-12-12 01:29:45,131.9,18.54
88,1,89,81,2018-02-27 03:31:08,19.9,14.1
89,1,90,22,2018-08-08 15:10:11,136.99,66.04
90,1,91,82,2017-10-19 01:07:30,399.99,23.64
91,1,92,18,2018-02-08 19:50:27,41.0,11.85
92,1,93,83,2018-06-21 02:30:28,69.0,18.58
92,2,93,83,2018-06-21 02:30:28,69.0,18.58
93,1,94,49,2018-07-10 10:51:09,169.9,33.33
94,1,95,84,2018-08-22 11:49:46,119.0,15.28
95,1,96,85,2018-08-07 15:05:14,39.9,18.08
96,1,97,86,2018-08-07 20:04:14,85.0,12.9
97,1,98,87,2018-03-22 18:08:43,220.0,8.89
98,1,99,88,2017-11-27 12:15:18,277.0,35.74
99,1,100,89,2018-08-22 19:35:22,66.99,27.75
100,1,101,90,2018-07-12 10:15:21,14.0,50.85
101,1,102,91,2018-03-05 17:10:41,85.0,17.03
101,2,102,91,2018-03-05 17:10:41,85.0,17.03
102,1,103,92,2018-02-12 13:15:37,229.0,9.8
103,1,104,93,2018-05-15 04:31:26,99.9,0.0
104,1,105,94,2018-01-29 00:15:10,84.9,34.39
105,1,106,95,2017-05-25 13:25:15,189.0,33.91
106,1,107,23,2017-10-09 20:50:45,49.0,7.78
107,1,108,96,2018-07-10 07:31:33,37.9,15.37
108,1,109,97,2018-05-23 17:15:37,179.93,16.14
109,1,110,98,2017-08-17 07:15:16,116.9,13.84
110,1,111,99,2018-06-19 04:17:48,94.9,15.51
111,1,112,100,2018-06-06 19:35:18,121.99,15.73
112,1,113,101,2017-10-02 15:49:17,7.79,7.78
113,1,114,22,2017-10-03 22:46:14,179.99,85.97
114,1,115,102,2017-02-17 16:18:07,7.6,10.96
115,1,116,14,2018-01-05 12:48:10,49.9,17.6
116,1,117,103,2018-07-10 05:31:03,110.32,8.03
117,1,118,104,2017-12-29 20:48:10,49.0,11.85
118,1,119,105,2018-06-14 18:52:39,159.9,61.18
119,1,120,106,2017-12-27 11:10:33,120.0,27.39
120,1,121,107,2017-08-08 15:45:17,21.5,11.98
121,1,122,108,2018-03-06 09:29:25,122.99,15.61
122,1,123,38,2017-11-30 14:16:42,72.99,19.75
123,1,124,38,2017-06-15 10:02:38,129.99,13.93
124,1,42,13,2018-02-12 18:30:33,92.0,17.89
124,2,42,13,2018-02-12 18:30:33,92.0,17.89
125,1,125,109,2018-08-14 22:15:22,33.89,8.4
125,2,125,109,2018-08-14 22:15:22,33.89,8.4
125,3,125,109,2018-08-14 22:15:22,33.89,8.4
125,4,125,109,2018-08-14 22:15:22,33.89,8.4
126,1,126,110,2018-02-25 22:47:21,149.0,40.37
127,1,127,111,2018-01-25 09:07:51,20.3,16.79
128,1,128,17,2017-05-25 21:10:16,179.9,15.01
128,2,128,17,2017-05-25 21:10:16,179.9,15.01
129,1,129,112,2017-07-27 19:27:31,109.9,12.27
130,1,130,113,2017-08-29 16:04:45,89.0,25.9
131,1,131,53,2018-04-16 18:15:20,120.0,13.75
132,1,132,23,2018-02-15 18:10:50,75.0,14.28
133,1,133,114,2017-04-13 13:50:09,46.86,14.52
134,1,134,115,2017-04-20 16:45:13,96.0,14.84
135,1,135,116,2017-10-24 12:28:16,49.99,18.12
135,2,136,116,2017-10-24 12:28:16,24.99,13.58
135,3,136,116,2017-10-24 12:28:16,24.99,13.58
136,1,137,117,2018-03-01 02:09:02,120.1,16.6
137,1,138,99,2018-03-08 14:50:50,69.9,16.25
138,1,139,118,2017-11-08 02:31:17,39.9,54.02
139,1,140,119,2018-08-03 13:50:14,159.9,20.31
140,1,141,93,2018-03-15 02:30:23,540.0,16.22
141,1,142,120,2017-09-14 21:55:22,189.9,31.17
142,1,143,121,2018-03-01 14:51:13,14.9,8.27
143,1,144,122,2017-09-28 13:30:11,43.9,11.85
144,1,145,123,2018-06-14 20:17:26,139.0,87.28
145,1,146,124,2018-05-03 21:52:36,40.35,13.71
146,1,147,125,2017-11-30 00:52:42,469.0,20.85
147,1,148,126,2017-08-31 21:55:16,59.0,16.17
148,1,149,34,2018-01-30 02:53:04,35.9,15.79
148,2,149,34,2018-01-30 02:53:04,35.9,15.79
149,1,150,127,2017-10-05 02:24:43,96.99,16.44
150,1,151,128,2018-07-31 02:50:11,77.9,13.89
151,1,152,129,2018-08-08 16:24:34,229.99,20.8
152,1,153,130,2018-02-22 13:35:28,56.0,14.14
153,1,154,131,2017-08-20 21:05:07,69.99,11.99
154,1,155,132,2017-12-07 01:29:28,49.9,7.78
155,1,156,133,2018-08-16 14:15:12,14.0,7.39
156,1,157,23,2018-01-03 22:07:25,29.0,14.1
157,1,158,134,2017-05-17 01:30:22,99.0,43.06
158,1,159,135,2018-04-16 19:31:09,499.0,30.35
159,1,160,136,2018-03-28 23:07:23,39.85,12.79
160,1,161,137,2017-07-31 11:55:24,149.0,14.06
161,1,162,86,2018-01-26 14:17:41,179.98,12.46
162,1,163,138,2018-05-18 04:52:44,219.99,14.9
163,1,164,23,2017-11-17 10:10:32,129.0,8.16
164,1,165,139,2018-02-06 02:53:55,137.0,15.71
165,1,166,140,2017-05-02 11:05:19,37.0,10.96
166,1,167,141,2017-07-04 23:43:34,154.0,14.83
167,1,168,142,2017-11-10 15:55:43,253.52,82.86
168,1,169,143,2018-05-10 03:31:09,49.9,7.39
169,1,170,144,2018-04-30 11:31:27,148.9,13.95
170,1,171,145,2017-09-28 08:50:17,64.9,18.69
171,1,172,92,2018-02-26 11:47:38,179.0,16.0
172,1,173,146,2017-11-30 04:15:38,27.9,15.1
173,1,174,147,2018-02-08 20:10:10,39.0,16.11
174,1,175,11,2017-08-21 17:45:16,7.0,14.1
175,1,176,148,2018-02-20 23:31:20,269.0,10.7
176,1,177,149,2017-11-16 02:51:05,99.9,17.95
177,1,178,13,2017-07-11 17:38:02,69.9,15.24
178,1,179,150,2018-03-21 00:10:59,89.9,23.13
179,1,180,121,2018-03-20 23:09:38,165.0,19.03
180,1,181,38,2017-08-17 16:55:17,57.99,11.73
181,1,182,17,2017-10-27 11:35:25,259.0,10.63
182,1,183,23,2018-08-06 21:50:11,55.0,7.65
183,1,184,18,2017-05-19 17:35:15,133.0,16.69
184,1,185,151,2018-06-01 19:37:41,35.9,18.23
185,1,186,152,2018-04-06 09:48:39,14.89,18.23
186,1,187,153,2018-05-04 20:54:23,99.0,13.0
187,1,188,53,2018-03-12 04:08:25,90.0,9.44
188,1,189,154,2018-05-22 20:57:50,43.49,27.39
189,1,190,155,2018-08-10 08:05:09,109.99,36.85
190,1,191,156,2018-06-12 09:11:48,9.99,15.23
190,2,191,156,2018-06-12 09:11:48,9.99,15.23
191,1,192,157,2018-01-11 11:33:49,28.5,34.15
192,1,193,158,2018-03-28 02:56:19,199.0,8.74
193,1,194,69,2017-07-18 02:10:13,135.9,21.44
194,1,195,159,2018-07-03 11:50:14,249.0,37.09
195,1,196,160,2017-02-26 10:37:41,49.99,15.56
196,1,197,23,2018-08-28 13:44:42,38.0,7.53
197,1,198,161,2018-06-19 14:17:26,85.0,11.62
198,1,199,162,2017-11-17 13:26:57,117.3,25.66
199,1,200,163,2017-12-14 19:30:37,99.9,18.57
199,2,201,163,2017-12-14 19:30:37,99.9,14.35
200,1,202,164,2018-06-29 03:31:55,18.0,7.87
201,1,203,165,2018-05-09 04:12:53,11.53,7.39
202,1,204,82,2018-01-30 22:14:25,269.99,39.41
203,1,205,28,2017-03-15 21:55:31,89.99,14.8
204,1,206,106,2017-11-21 13:50:26,19.9,42.76
205,1,207,166,2018-07-13 13:46:36,166.9,13.47
206,1,208,167,2017-11-01 03:09:33,133.74,12.44
207,1,209,168,2017-08-30 13:05:16,86.8,7.86
208,1,210,169,2018-08-28 02:35:10,62.0,8.59
209,1,211,170,2018-03-09 18:30:41,158.0,10.68
209,2,212,170,2018-03-09 18:30:41,308.0,31.16
210,1,213,171,2018-06-20 09:31:04,129.0,47.4
211,1,214,142,2017-09-27 02:45:37,143.54,21.49
212,1,215,172,2018-03-26 12:49:18,39.99,18.23
212,2,215,172,2018-03-26 12:49:18,39.99,18.23
213,1,216,105,2018-08-01 11:45:13,49.9,12.92
214,1,217,173,2018-05-17 12:17:02,119.9,23.34
215,1,218,146,2017-11-29 00:11:24,16.9,15.1
216,1,219,21,2018-01-17 13:10:34,29.99,15.1
217,1,220,174,2017-10-26 00:15:00,30.99,34.15
218,1,221,11,2017-06-26 03:32:58,84.99,15.34
219,1,126,110,2018-02-22 17:27:05,149.0,45.12
220,1,222,146,2018-05-10 22:15:28,48.9,8.82
221,1,223,175,2017-12-14 19:32:49,159.49,8.86
222,1,224,176,2017-12-01 10:56:20,249.9,41.53
223,1,225,39,2018-07-27 16:35:16,24.89,7.75
224,1,226,11,2017-12-15 18:15:33,53.99,7.78
225,1,227,156,2018-08-07 20:04:20,15.99,7.39
226,1,228,177,2017-11-01 21:30:14,24.5,11.85
227,1,229,84,2018-05-22 13:55:09,179.0,22.99
228,1,230,139,2018-05-04 03:30:26,37.9,21.43
229,1,231,178,2018-07-26 03:25:11,89.9,22.56
229,2,231,178,2018-07-26 03:25:11,89.9,22.56
229,3,231,178,2018-07-26 03:25:11,89.9,22.56
230,1,66,62,2018-04-12 22:09:40,88.34,29.08
231,1,232,179,2017-06-28 20:05:22,177.9,18.5
232,1,233,180,2017-09-08 18:55:14,32.99,14.1
233,1,234,53,2018-05-14 00:14:29,69.9,0.0
234,1,235,13,2017-05-18 23:50:08,109.9,12.27
235,1,236,181,2018-08-21 16:35:18,52.99,22.3
236,1,237,182,2017-11-29 15:10:19,110.9,14.51
237,1,238,80,2017-09-08 14:15:16,35.9,12.48
238,1,239,143,2018-06-18 06:30:53,39.0,7.53
239,1,240,183,2018-08-14 02:50:31,27.9,7.46
240,1,241,184,2018-06-04 09:50:04,579.0,65.34
241,1,242,65,2018-02-22 14:30:55,99.9,23.57
242,1,243,18,2018-04-12 11:49:01,37.0,19.32
243,1,244,22,2018-02-02 09:07:49,116.6,30.66
244,1,245,23,2018-08-07 12:50:17,49.0,19.25
245,1,246,185,2018-05-15 15:51:32,27.9,9.26
246,1,247,186,2018-02-28 12:30:31,65.0,25.73
247,1,239,143,2017-06-26 15:15:17,39.9,11.85
248,1,248,187,2018-07-20 20:04:06,105.0,17.87
249,1,249,188,2018-08-14 08:30:14,25.79,23.33
249,2,249,188,2018-08-14 08:30:14,25.79,23.33
250,1,250,93,2018-08-20 08:50:19,146.01,13.68
251,1,251,189,2018-02-06 14:13:31,189.9,26.61
252,1,252,190,2018-01-05 18:11:33,139.65,26.26
253,1,253,191,2018-08-30 21:25:15,59.9,7.68
254,1,254,34,2018-03-30 20:10:20,13.65,15.23
255,1,255,192,2018-01-29 03:52:51,31.9,16.11
256,1,256,193,2017-01-22 17:55:34,33.99,16.6
257,1,257,194,2018-08-22 14:27:21,158.9,14.59
258,1,258,195,2018-01-09 19:27:05,47.4,11.85
259,1,259,196,2017-08-08 15:45:15,50.0,21.19
260,1,260,85,2018-05-07 16:15:13,59.9,11.15
261,1,261,197,2018-08-16 11:04:38,199.0,39.66
261,2,261,197,2018-08-16 11:04:38,199.0,39.66
262,1,262,99,2018-05-24 10:12:48,69.9,23.07
263,1,263,198,2018-03-05 03:55:52,50.21,15.1
264,1,264,20,2018-01-29 03:37:44,39.9,16.6
265,1,265,21,2017-12-06 10:22:08,24.99,14.1
