review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
RV_1,OR_44686,4,No Title,No Comment,2018-01-18 00:00:00,2018-01-18 21:46:59
RV_2,OR_63397,5,No Title,No Comment,2018-03-10 00:00:00,2018-03-11 03:05:13
RV_3,OR_96292,5,No Title,No Comment,2018-02-17 00:00:00,2018-02-18 14:36:24
RV_4,OR_39075,5,No Title,Recebi bem antes do prazo estipulado.,2017-04-21 00:00:00,2017-04-21 22:02:06
RV_5,OR_54588,5,No Title,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,2018-03-01 00:00:00,2018-03-02 10:26:53
RV_6,OR_68262,1,No Title,No Comment,2018-04-13 00:00:00,2018-04-16 00:39:37
RV_7,OR_88269,5,No Title,No Comment,2017-07-16 00:00:00,2017-07-18 19:30:34
RV_8,OR_75188,5,No Title,No Comment,2018-08-14 00:00:00,2018-08-14 21:36:06
RV_9,OR_59787,5,No Title,No Comment,2017-05-17 00:00:00,2017-05-18 12:05:37
RV_10,OR_71514,4,recomendo,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,2018-05-22 00:00:00,2018-05-23 16:45:47
RV_11,OR_79382,5,No Title,No Comment,2017-12-23 00:00:00,2017-12-26 14:36:03
RV_12,OR_23549,5,No Title,No Comment,2017-12-19 00:00:00,2017-12-20 10:25:22
RV_13,OR_60311,4,No Title,"Mas um pouco ,travando...pelo valor ta Boa.
",2018-02-16 00:00:00,2018-02-20 10:52:22
RV_14,OR_17869,4,No Title,No Comment,2018-03-28 00:00:00,2018-03-30 15:10:55
RV_15,OR_83261,3,No Title,No Comment,2017-04-30 00:00:00,2017-05-03 00:02:22
RV_16,OR_88447,5,Super recomendo,"Vendedor confiável, produto ok e entrega antes do prazo.",2018-05-23 00:00:00,2018-05-24 03:00:01
RV_17,OR_5302,2,No Title,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2018-01-18 00:00:00,2018-01-20 21:25:45
RV_18,OR_98341,5,No Title,No Comment,2018-03-24 00:00:00,2018-03-26 15:58:32
RV_19,OR_43411,3,No Title,No Comment,2017-09-29 00:00:00,2017-10-02 01:12:49
RV_20,OR_33955,1,Não chegou meu produto ,Péssimo,2018-08-15 00:00:00,2018-08-15 04:10:37
RV_21,OR_65124,4,No Title,No Comment,2017-10-06 00:00:00,2017-10-08 22:36:05
RV_22,OR_66904,5,No Title,No Comment,2018-03-17 00:00:00,2018-04-04 19:41:11
RV_23,OR_30792,5,Ótimo,Loja nota 10,2018-07-10 00:00:00,2018-07-11 14:10:25
RV_24,OR_47955,5,No Title,No Comment,2017-09-09 00:00:00,2017-10-17 02:25:47
RV_25,OR_46756,5,No Title,obrigado pela atençao amim dispensada,2017-12-01 00:00:00,2017-12-09 22:58:58
RV_26,OR_51023,5,No Title,No Comment,2017-06-23 00:00:00,2017-06-27 00:52:02
RV_27,OR_63527,4,No Title,No Comment,2017-11-01 00:00:00,2017-11-01 20:25:30
RV_28,OR_17064,5,No Title,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",2018-03-23 00:00:00,2018-04-01 00:27:51
RV_29,OR_40348,5,No Title,relógio muito bonito e barato.,2018-03-29 00:00:00,2018-04-02 14:19:31
RV_30,OR_5031,1,No Title,Não gostei ! Comprei gato por lebre,2017-12-13 00:00:00,2017-12-16 07:14:07
RV_31,OR_80009,5,No Title,No Comment,2018-01-18 00:00:00,2018-01-18 19:12:30
RV_32,OR_53611,5,No Title,No Comment,2017-07-19 00:00:00,2017-07-20 10:38:48
RV_33,OR_40409,1,No Title,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2018-04-08 00:00:00,2018-04-09 12:22:39
RV_34,OR_39870,5,No Title,No Comment,2018-08-25 00:00:00,2018-08-26 22:02:59
