customer_id,customer_zip_code_prefix,customer_city,customer_state
CUS_1,14409,1382,25
CUS_2,9790,3428,25
CUS_3,1151,3597,25
CUS_4,8775,2341,25
CUS_5,13056,707,25
CUS_6,89254,1936,23
CUS_7,4534,3597,25
CUS_8,35182,3865,10
CUS_9,81560,1143,17
CUS_10,30575,453,10
CUS_11,39400,2386,10
CUS_12,20231,3155,18
CUS_13,18682,2089,25
CUS_14,5704,3597,25
CUS_15,95110,900,22
CUS_16,13412,2867,25
CUS_17,22750,3155,18
CUS_18,7124,1529,25
CUS_19,5416,3597,25
CUS_20,68485,2617,13
CUS_21,88034,1358,23
CUS_22,74914,208,8
CUS_23,5713,3597,25
CUS_24,82820,1143,17
CUS_25,8225,3597,25
CUS_26,9121,3375,25
CUS_27,74310,1445,8
CUS_28,4571,3597,25
CUS_29,29311,632,7
CUS_30,5528,3597,25
CUS_31,12235,3554,25
CUS_32,18130,3614,25
CUS_33,42800,675,4
CUS_34,27525,3100,18
CUS_35,81750,1143,17
CUS_36,13175,3765,25
CUS_37,7170,1529,25
CUS_38,93415,2552,22
CUS_39,65075,3566,9
CUS_40,88104,3520,23
CUS_41,7176,1529,25
CUS_42,35960,3259,10
CUS_43,5727,3597,25
CUS_44,7053,1529,25
CUS_45,14026,3132,25
CUS_46,30320,453,10
CUS_47,38300,1859,10
CUS_48,18740,3817,25
CUS_49,83085,3556,17
CUS_50,89254,1936,23
CUS_51,5351,3597,25
CUS_52,39406,2386,10
CUS_53,14860,422,25
CUS_54,21310,3155,18
CUS_55,23970,2700,18
CUS_56,79804,1225,11
CUS_57,5017,3597,25
CUS_58,75388,3910,8
CUS_59,85808,867,17
CUS_60,60140,1374,5
CUS_61,72270,558,6
CUS_62,2075,3597,25
CUS_63,96015,2787,22
CUS_64,90010,2964,22
CUS_65,22440,3155,18
CUS_66,13323,3238,25
CUS_67,30190,453,10
CUS_68,13212,2010,25
CUS_69,29307,632,7
CUS_70,12280,615,25
CUS_71,60336,1374,5
CUS_72,11310,3638,25
CUS_73,38408,3950,10
CUS_74,37720,545,10
CUS_75,24431,3471,18
CUS_76,5890,3597,25
CUS_77,3733,3597,25
CUS_78,83709,276,17
CUS_79,11347,3638,25
CUS_80,26272,2506,18
CUS_81,5415,3597,25
CUS_82,59655,286,19
CUS_83,4548,3597,25
CUS_84,28010,740,18
CUS_85,13573,3434,25
CUS_86,2175,3597,25
CUS_87,37500,1772,10
CUS_88,90670,2964,22
CUS_89,9890,3428,25
CUS_90,13321,3238,25
CUS_91,44380,1122,4
CUS_92,27700,4029,18
CUS_93,44033,1324,4
CUS_94,4537,3597,25
CUS_95,71540,558,6
CUS_96,13569,3434,25
CUS_97,5565,3597,25
CUS_98,3636,3597,25
CUS_99,24120,2461,18
CUS_100,65058,3566,9
CUS_101,2983,3597,25
CUS_102,4105,3597,25
CUS_103,89260,1936,23
CUS_104,62016,3748,5
CUS_105,35500,1190,10
CUS_106,8743,2341,25
CUS_107,71928,558,6
CUS_108,4938,3597,25
CUS_109,2209,3597,25
CUS_110,25850,2673,18
CUS_111,53437,2746,15
CUS_112,4710,3597,25
CUS_113,6382,820,25
CUS_114,2632,3597,25
CUS_115,95765,521,22
CUS_116,2631,3597,25
CUS_117,36780,325,10
CUS_118,80050,1143,17
CUS_119,30664,453,10
CUS_120,86990,2229,17
CUS_121,8490,3597,25
CUS_122,15015,3549,25
CUS_123,28909,609,18
CUS_124,32140,1041,10
CUS_125,38410,3950,10
CUS_126,86640,644,17
CUS_127,91340,2964,22
CUS_128,14600,3512,25
CUS_129,85854,1378,17
CUS_130,30421,453,10
CUS_131,9862,3428,25
CUS_132,24431,3471,18
CUS_133,8686,3770,25
CUS_134,7243,1529,25
CUS_135,89120,3862,23
CUS_136,88348,687,23
CUS_137,95340,2481,22
CUS_138,96215,3167,22
CUS_139,71665,558,6
CUS_140,12929,552,25
CUS_141,78600,403,12
CUS_142,4960,3597,25
CUS_143,6835,1248,25
CUS_144,9784,3428,25
CUS_145,73020,558,6
CUS_146,88840,3991,23
CUS_147,37589,3732,10
CUS_148,5874,3597,25
CUS_149,39505,1409,10
CUS_150,66050,448,13
CUS_151,37701,2925,10
CUS_152,32070,1041,10
CUS_153,11065,3415,25
CUS_154,12970,2864,25
CUS_155,22251,3155,18
CUS_156,11035,3415,25
CUS_157,78557,3740,12
CUS_158,11440,1527,25
CUS_159,6401,430,25
CUS_160,5590,3597,25
CUS_161,95770,1330,22
CUS_162,4679,3597,25
CUS_163,30330,453,10
CUS_164,12270,1915,25
CUS_165,15050,3549,25
CUS_166,35160,1686,10
CUS_167,17602,3924,25
CUS_168,4427,3597,25
CUS_169,70750,558,6
CUS_170,89031,480,23
CUS_171,15275,2350,25
CUS_172,22290,3155,18
CUS_173,3563,3597,25
CUS_174,88330,361,23
CUS_175,20030,3155,18
CUS_176,4723,3597,25
CUS_177,65430,4011,9
CUS_178,79130,3147,11
CUS_179,36855,1306,10
CUS_180,66055,448,13
CUS_181,15054,3549,25
CUS_182,13142,2744,25
CUS_183,3951,3597,25
CUS_184,13214,2010,25
CUS_185,3127,3597,25
CUS_186,9030,3375,25
CUS_187,12240,3554,25
CUS_188,22251,3155,18
CUS_189,13045,707,25
CUS_190,30830,453,10
CUS_191,86806,222,17
CUS_192,52070,3086,15
CUS_193,6290,2594,25
CUS_194,13270,4002,25
CUS_195,9040,3375,25
CUS_196,69049,2185,2
CUS_197,95595,958,22
CUS_198,20561,3155,18
CUS_199,97700,3369,22
CUS_200,8340,3597,25
CUS_201,97340,3630,22
CUS_202,78580,100,12
CUS_203,7191,1529,25
CUS_204,54430,1874,15
CUS_205,5451,3597,25
CUS_206,29395,1569,7
CUS_207,13188,1553,25
CUS_208,2376,3597,25
CUS_209,6719,1092,25
CUS_210,27915,2139,18
CUS_211,89868,3660,23
CUS_212,22220,3155,18
CUS_213,68908,2143,3
CUS_214,18160,3240,25
CUS_215,6764,3775,25
CUS_216,75570,507,8
CUS_217,95124,900,22
CUS_218,38415,3950,10
CUS_219,18900,3281,25
CUS_220,9950,1172,25
CUS_221,45320,3294,4
CUS_222,23075,3155,18
CUS_223,48700,3708,4
CUS_224,18112,4098,25
CUS_225,13185,1553,25
CUS_226,27580,1837,18
CUS_227,25245,1235,18
CUS_228,28375,4019,18
CUS_229,21615,3155,18
CUS_230,95095,900,22
CUS_231,20250,3155,18
CUS_232,29101,4074,7
CUS_233,13053,707,25
CUS_234,23860,2192,18
CUS_235,12942,330,25
CUS_236,5450,3597,25
CUS_237,41706,3247,4
CUS_238,57046,2150,1
CUS_239,91350,2964,22
CUS_240,22620,3155,18
CUS_241,16204,476,25
CUS_242,14401,1382,25
CUS_243,25675,2815,18
CUS_244,24220,2461,18
CUS_245,90240,2964,22
CUS_246,13520,3600,25
CUS_247,84200,1905,17
CUS_248,21515,3155,18
CUS_249,7847,1390,25
CUS_250,3609,3597,25
CUS_251,72220,558,6
CUS_252,12280,615,25
CUS_253,13212,2010,25
CUS_254,41480,3247,4
CUS_255,12420,2840,25
CUS_256,84500,1724,17
CUS_257,18380,3120,25
CUS_258,35160,1686,10
CUS_259,4455,3597,25
CUS_260,36200,386,10
CUS_261,55700,2100,15
CUS_262,76974,1282,20
CUS_263,26155,450,18
CUS_264,12215,3554,25
CUS_265,70770,558,6
CUS_266,35171,1062,10
CUS_267,9960,1172,25
CUS_268,72331,558,6
CUS_269,72225,558,6
CUS_270,11740,1784,25
CUS_271,74825,1445,8
CUS_272,14709,440,25
CUS_273,13465,151,25
CUS_274,41308,3247,4
CUS_275,36500,3941,10
CUS_276,86700,257,17
CUS_277,13287,4076,25
CUS_278,88304,1768,23
CUS_279,79823,1225,11
CUS_280,17033,438,25
CUS_281,14850,3001,25
CUS_282,5171,3597,25
CUS_283,78325,296,12
CUS_284,12900,552,25
CUS_285,4374,3597,25
CUS_286,45840,1520,4
CUS_287,4190,3597,25
CUS_288,79904,2937,11
CUS_289,16011,231,25
CUS_290,27265,4097,18
CUS_291,87025,2242,17
CUS_292,7197,1529,25
CUS_293,1527,3597,25
CUS_294,4845,3597,25
CUS_295,14802,265,25
CUS_296,35367,2271,10
CUS_297,24230,2461,18
CUS_298,36205,386,10
CUS_299,91130,2964,22
CUS_300,95500,3379,22
CUS_301,1230,3597,25
CUS_302,91760,2964,22
CUS_303,27351,413,18
CUS_304,60181,1374,5
CUS_305,39100,1175,10
CUS_306,30330,453,10
CUS_307,71505,558,6
CUS_308,87050,2242,17
CUS_309,41720,3247,4
CUS_310,4003,3597,25
CUS_311,27913,2139,18
CUS_312,5792,3597,25
CUS_313,18120,2171,25
CUS_314,31615,453,10
CUS_315,85790,802,17
CUS_316,20735,3155,18
CUS_317,37950,3627,10
CUS_318,22240,3155,18
CUS_319,25645,2815,18
CUS_320,2802,3597,25
CUS_321,4744,3597,25
CUS_322,3704,3597,25
CUS_323,13416,2867,25
CUS_324,26115,450,18
CUS_325,73035,558,6
CUS_326,74580,1445,8
CUS_327,97590,3211,22
CUS_328,23820,1755,18
CUS_329,3579,3597,25
CUS_330,11420,1527,25
CUS_331,35774,2698,10
CUS_332,9271,3375,25
CUS_333,13041,707,25
CUS_334,1321,3597,25
CUS_335,20240,3155,18
CUS_336,31555,453,10
CUS_337,85012,1515,17
CUS_338,39885,1103,10
CUS_339,27175,2869,18
CUS_340,57062,2150,1
CUS_341,29903,2106,7
CUS_342,17120,59,25
CUS_343,2435,3597,25
CUS_344,4116,3597,25
CUS_345,21010,3155,18
CUS_346,25545,3493,18
CUS_347,3105,3597,25
CUS_348,21616,3155,18
CUS_349,88370,2446,23
CUS_350,13641,2887,25
CUS_351,9686,3428,25
CUS_352,89694,1319,23
CUS_353,7251,1529,25
CUS_354,71908,558,6
CUS_355,72300,558,6
CUS_356,88805,1102,23
CUS_357,29830,2541,7
CUS_358,99010,2723,22
CUS_359,2230,3597,25
CUS_360,38400,3950,10
CUS_361,6386,820,25
CUS_362,20780,3155,18
CUS_363,38950,1572,10
CUS_364,74986,208,8
CUS_365,1310,3597,25
CUS_366,11045,3415,25
CUS_367,36900,2194,10
CUS_368,13178,3765,25
CUS_369,68371,102,13
CUS_370,74423,1445,8
CUS_371,22231,3155,18
CUS_372,88110,3520,23
CUS_373,3718,3597,25
CUS_374,28495,213,18
CUS_375,11320,3638,25
CUS_376,16010,231,25
CUS_377,78015,1133,12
CUS_378,92320,772,22
CUS_379,32140,1041,10
CUS_380,31330,453,10
CUS_381,5093,3597,25
CUS_382,30441,453,10
CUS_383,11547,1131,25
CUS_384,87030,2242,17
CUS_385,3923,3597,25
CUS_386,13232,728,25
CUS_387,86181,684,17
CUS_388,8576,1828,25
CUS_389,9551,3433,25
CUS_390,12243,3554,25
CUS_391,5894,3597,25
CUS_392,3574,3597,25
CUS_393,39404,2386,10
CUS_394,40323,3247,4
CUS_395,30240,453,10
CUS_396,24240,2461,18
CUS_397,22440,3155,18
CUS_398,7020,1529,25
CUS_399,5596,3597,25
CUS_400,35935,3475,10
CUS_401,86600,3197,17
CUS_402,37410,3897,10
CUS_403,96570,616,22
CUS_404,2435,3597,25
CUS_405,1424,3597,25
CUS_406,1537,3597,25
CUS_407,14050,3132,25
CUS_408,24722,3471,18
CUS_409,36680,3510,10
CUS_410,6722,1092,25
CUS_411,24220,2461,18
CUS_412,92035,772,22
CUS_413,22451,3155,18
CUS_414,74160,1445,8
CUS_415,13610,2087,25
CUS_416,13600,266,25
CUS_417,13201,2010,25
CUS_418,55525,1079,15
CUS_419,35164,1686,10
CUS_420,3183,3597,25
CUS_421,14051,3132,25
CUS_422,88351,583,23
CUS_423,60055,1374,5
CUS_424,95780,2385,22
CUS_425,76630,1739,8
CUS_426,12413,2840,25
CUS_427,72620,558,6
CUS_428,14270,3336,25
CUS_429,73780,41,8
CUS_430,11065,3415,25
CUS_431,99150,2218,22
CUS_432,35790,1152,10
CUS_433,24060,2461,18
CUS_434,36080,2005,10
CUS_435,38408,3950,10
CUS_436,13843,2343,25
CUS_437,24350,2461,18
CUS_438,8150,3597,25
CUS_439,2559,3597,25
CUS_440,3755,3597,25
CUS_441,1227,3597,25
CUS_442,30575,453,10
CUS_443,6286,2594,25
CUS_444,4001,3597,25
CUS_445,12503,1521,25
CUS_446,9895,3428,25
CUS_447,83209,2688,17
CUS_448,16403,2107,25
CUS_449,4401,3597,25
CUS_450,93700,717,22
CUS_451,14170,3716,25
CUS_452,2846,3597,25
CUS_453,79640,3903,11
CUS_454,6765,3775,25
CUS_455,32044,1041,10
CUS_456,24230,2461,18
CUS_457,9250,3375,25
CUS_458,4160,3597,25
CUS_459,17208,1952,25
CUS_460,81250,1143,17
CUS_461,95780,2385,22
CUS_462,88106,3520,23
CUS_463,78307,738,12
CUS_464,28999,3649,18
CUS_465,9530,3433,25
CUS_466,13160,314,25
CUS_467,48950,3940,4
CUS_468,4342,3597,25
CUS_469,6624,1921,25
CUS_470,30431,453,10
CUS_471,4182,3597,25
CUS_472,4862,3597,25
CUS_473,13275,4002,25
CUS_474,89705,1022,23
CUS_475,28625,2501,18
CUS_476,18051,3758,25
CUS_477,20550,3155,18
CUS_478,35430,2944,10
CUS_479,89245,262,23
CUS_480,12233,3554,25
CUS_481,36881,2426,10
CUS_482,2302,3597,25
CUS_483,6455,430,25
CUS_484,9061,3375,25
CUS_485,88372,2446,23
CUS_486,34004,2512,10
CUS_487,75400,1677,8
CUS_488,28250,1774,18
CUS_489,2082,3597,25
CUS_490,25802,3907,18
CUS_491,26185,450,18
CUS_492,97030,3307,22
CUS_493,45585,1751,4
CUS_494,88054,1358,23
CUS_495,4717,3597,25
CUS_496,38600,2667,10
CUS_497,22410,3155,18
CUS_498,82310,1143,17
CUS_499,22753,3155,18
CUS_500,89825,4112,23
CUS_501,20540,3155,18
CUS_502,9250,3375,25
CUS_503,85301,2076,17
CUS_504,4704,3597,25
CUS_505,8080,3597,25
CUS_506,62740,1819,5
CUS_507,8072,3597,25
CUS_508,7143,1529,25
CUS_509,13050,707,25
CUS_510,52120,3086,15
CUS_511,14055,3132,25
CUS_512,35500,1190,10
CUS_513,4772,3597,25
CUS_514,13403,2867,25
CUS_515,73808,1366,8
CUS_516,24220,2461,18
CUS_517,88058,1358,23
CUS_518,35430,2944,10
CUS_519,24315,2461,18
CUS_520,13400,2867,25
CUS_521,79130,3147,11
CUS_522,2365,3597,25
CUS_523,3562,3597,25
CUS_524,4571,3597,25
CUS_525,16202,476,25
CUS_526,93900,1873,22
CUS_527,41820,3247,4
CUS_528,48903,1999,4
CUS_529,84025,2936,17
CUS_530,29830,2541,7
CUS_531,58407,702,14
CUS_532,22280,3155,18
CUS_533,6140,2594,25
CUS_534,6056,2594,25
CUS_535,18110,4098,25
CUS_536,4561,3597,25
CUS_537,9321,2282,25
CUS_538,56000,3231,15
CUS_539,12246,3554,25
CUS_540,20011,3155,18
CUS_541,12604,2114,25
CUS_542,3546,3597,25
CUS_543,24750,3471,18
CUS_544,11432,1527,25
CUS_545,26083,2506,18
CUS_546,2114,3597,25
CUS_547,60834,1374,5
CUS_548,85910,3874,17
CUS_549,24360,2461,18
CUS_550,28943,3602,18
CUS_551,81670,1143,17
CUS_552,9861,3428,25
CUS_553,22631,3155,18
CUS_554,22783,3155,18
CUS_555,75265,4050,8
CUS_556,57311,254,1
CUS_557,45810,2983,4
CUS_558,27251,4097,18
CUS_559,1536,3597,25
CUS_560,1455,3597,25
CUS_561,81540,1143,17
CUS_562,24724,3471,18
CUS_563,6114,2594,25
CUS_564,1224,3597,25
CUS_565,26265,2506,18
CUS_566,6454,430,25
CUS_567,76875,297,20
CUS_568,89150,3013,23
CUS_569,72548,558,6
CUS_570,31872,453,10
CUS_571,22440,3155,18
CUS_572,88052,1358,23
CUS_573,83880,3174,17
CUS_574,32260,1041,10
CUS_575,95050,900,22
CUS_576,91370,2964,22
CUS_577,60135,1374,5
CUS_578,20270,3155,18
CUS_579,97110,3307,22
CUS_580,21810,3155,18
CUS_581,4649,3597,25
CUS_582,17209,1952,25
CUS_583,51021,3086,15
CUS_584,23059,3155,18
CUS_585,9415,3131,25
CUS_586,55565,3524,15
CUS_587,22631,3155,18
CUS_588,29820,40,7
CUS_589,9850,3428,25
CUS_590,75083,165,8
CUS_591,16700,1518,25
CUS_592,25650,2815,18
CUS_593,3122,3597,25
CUS_594,8671,3770,25
CUS_595,95170,1314,22
CUS_596,9361,2282,25
CUS_597,23076,3155,18
CUS_598,12281,615,25
CUS_599,39900,93,10
CUS_600,28893,3152,18
CUS_601,94080,1474,22
CUS_602,51030,3086,15
CUS_603,46100,582,4
CUS_604,5577,3597,25
CUS_605,30380,453,10
CUS_606,8235,3597,25
CUS_607,22755,3155,18
CUS_608,28051,740,18
CUS_609,17512,2240,25
CUS_610,35900,1741,10
CUS_611,18070,3758,25
CUS_612,23040,3155,18
CUS_613,4617,3597,25
CUS_614,78540,964,12
CUS_615,88045,1358,23
CUS_616,21240,3155,18
CUS_617,7072,1529,25
CUS_618,9531,3433,25
CUS_619,30881,453,10
CUS_620,22780,3155,18
CUS_621,2452,3597,25
CUS_622,35660,2665,10
CUS_623,24240,2461,18
CUS_624,14530,2304,25
CUS_625,14745,3853,25
CUS_626,13140,2744,25
CUS_627,38442,246,10
CUS_628,32145,1041,10
CUS_629,22775,3155,18
CUS_630,12288,615,25
CUS_631,88505,2034,23
