order_id,payment_sequential,payment_installments,payment_value,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_not_defined,payment_type_voucher
ORD_75269,1,8,99.33,False,True,False,False,False
ORD_98161,1,1,24.39,False,True,False,False,False
ORD_43930,1,1,65.71,False,True,False,False,False
ORD_64933,1,8,107.78,False,True,False,False,False
ORD_12703,1,2,128.45,False,True,False,False,False
ORD_9432,1,2,96.12,False,True,False,False,False
ORD_77993,1,1,81.16,False,True,False,False,False
ORD_57204,1,3,51.84,False,True,False,False,False
ORD_90162,1,6,341.09,False,True,False,False,False
ORD_26050,1,1,51.95,True,False,False,False,False
ORD_42221,1,8,188.73,False,True,False,False,False
ORD_51143,1,1,141.9,False,True,False,False,False
ORD_54659,1,1,75.78,False,True,False,False,False
ORD_15599,1,5,102.66,False,True,False,False,False
ORD_21639,1,4,105.28,False,True,False,False,False
ORD_16687,1,10,157.45,False,True,False,False,False
ORD_7849,1,1,132.04,False,True,False,False,False
ORD_10267,1,1,98.94,False,True,False,False,False
ORD_56185,1,4,244.15,False,True,False,False,False
ORD_32919,1,3,136.71,False,True,False,False,False
ORD_89803,1,4,47.69,False,True,False,False,False
ORD_76166,1,2,170.57,False,True,False,False,False
ORD_85633,1,4,67.5,False,True,False,False,False
ORD_80063,1,10,353.09,False,True,False,False,False
ORD_49021,1,1,330.66,True,False,False,False,False
ORD_55503,2,1,45.17,False,False,False,False,True
ORD_24866,1,2,541.0,False,True,False,False,False
ORD_74397,1,2,139.22,False,True,False,False,False
ORD_35697,1,2,290.16,False,True,False,False,False
ORD_4167,1,1,283.34,True,False,False,False,False
ORD_64398,1,1,13.78,False,True,False,False,False
ORD_75959,1,1,30.28,False,True,False,False,False
ORD_1233,1,1,26.58,False,True,False,False,False
ORD_66612,1,1,89.68,False,True,False,False,False
ORD_45876,1,1,65.09,False,True,False,False,False
ORD_83139,1,1,173.84,False,True,False,False,False
ORD_97577,1,1,103.49,False,True,False,False,False
ORD_50127,1,1,64.03,False,True,False,False,False
ORD_85299,1,3,157.15,False,True,False,False,False
ORD_98019,1,1,130.88,True,False,False,False,False
ORD_32173,1,2,47.72,False,True,False,False,False
ORD_90526,1,8,117.74,False,True,False,False,False
ORD_91879,1,1,56.6,True,False,False,False,False
ORD_67308,1,1,266.16,False,True,False,False,False
ORD_51040,1,1,31.38,True,False,False,False,False
ORD_81326,1,1,121.49,False,True,False,False,False
ORD_32724,1,1,32.0,False,True,False,False,False
ORD_29092,1,5,153.41,False,True,False,False,False
ORD_44657,1,5,65.71,False,True,False,False,False
ORD_7712,1,4,278.22,False,True,False,False,False
ORD_64914,1,4,91.66,False,True,False,False,False
ORD_71994,1,1,132.51,False,True,False,False,False
ORD_53456,1,4,542.66,False,True,False,False,False
ORD_8963,1,1,166.04,True,False,False,False,False
ORD_81603,1,1,368.98,True,False,False,False,False
ORD_77241,1,2,113.2,False,True,False,False,False
ORD_7668,1,3,99.43,False,True,False,False,False
ORD_8743,1,2,27.35,False,True,False,False,False
ORD_5809,1,4,43.77,False,True,False,False,False
ORD_63871,1,2,68.49,False,True,False,False,False
ORD_81025,1,2,105.53,False,True,False,False,False
ORD_98917,1,8,387.8,False,True,False,False,False
ORD_14430,1,1,84.14,True,False,False,False,False
ORD_19638,1,4,210.82,False,True,False,False,False
ORD_40351,1,1,90.05,True,False,False,False,False
ORD_36665,1,1,67.88,False,True,False,False,False
ORD_34163,1,2,37.58,False,True,False,False,False
ORD_93677,1,1,89.63,True,False,False,False,False
ORD_10457,1,1,69.46,False,False,False,False,True
ORD_90787,1,2,78.3,False,True,False,False,False
ORD_40583,1,1,50.8,False,False,False,False,True
ORD_23682,1,1,34.0,False,True,False,False,False
ORD_18965,1,1,77.1,True,False,False,False,False
ORD_78700,1,5,566.4,False,True,False,False,False
ORD_73721,1,8,402.42,False,True,False,False,False
ORD_70589,2,1,57.53,False,False,False,False,True
ORD_98468,1,3,44.01,False,True,False,False,False
ORD_75047,1,3,187.51,False,True,False,False,False
ORD_16165,1,3,77.7,False,True,False,False,False
ORD_45150,1,1,48.68,False,True,False,False,False
ORD_56560,1,1,77.29,False,True,False,False,False
ORD_45545,1,8,117.71,False,True,False,False,False
ORD_91944,1,3,169.34,False,True,False,False,False
