product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
PRO_1,perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0,59
PRO_2,artes,44.0,276.0,1.0,1000.0,30.0,18.0,20.0,2
PRO_3,esporte_lazer,46.0,250.0,1.0,154.0,18.0,9.0,15.0,65
PRO_4,bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0,6
PRO_5,utilidades_domesticas,37.0,402.0,4.0,625.0,20.0,17.0,13.0,49
PRO_6,instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0,56
PRO_7,cool_stuff,56.0,1272.0,4.0,18350.0,70.0,24.0,44.0,20
PRO_8,moveis_decoracao,56.0,184.0,2.0,900.0,40.0,8.0,40.0,39
PRO_9,eletrodomesticos,57.0,163.0,1.0,400.0,27.0,13.0,17.0,44
PRO_10,brinquedos,36.0,1156.0,1.0,600.0,17.0,10.0,12.0,69
PRO_11,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,7
PRO_12,bebes,49.0,728.0,4.0,7150.0,50.0,19.0,45.0,6
PRO_13,instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0,56
PRO_14,moveis_decoracao,51.0,2083.0,2.0,600.0,68.0,11.0,13.0,39
PRO_15,construcao_ferramentas_seguranca,59.0,1602.0,4.0,200.0,17.0,7.0,17.0,19
PRO_16,esporte_lazer,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,65
PRO_17,perfumaria,39.0,346.0,2.0,400.0,27.0,5.0,20.0,59
PRO_18,informatica_acessorios,59.0,636.0,1.0,900.0,40.0,15.0,20.0,15
PRO_19,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,39
PRO_20,cama_mesa_banho,52.0,206.0,1.0,500.0,16.0,10.0,16.0,7
PRO_21,moveis_decoracao,27.0,158.0,4.0,2550.0,29.0,24.0,45.0,39
PRO_22,cama_mesa_banho,27.0,329.0,2.0,800.0,36.0,8.0,16.0,7
PRO_23,beleza_saude,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,43
PRO_24,bebes,55.0,1627.0,1.0,500.0,20.0,13.0,13.0,6
PRO_25,moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0,39
PRO_26,utilidades_domesticas,52.0,968.0,1.0,900.0,50.0,5.0,50.0,49
