review_score,order_status,payment_value,payment_installments,payment_type,price,freight_value,num_items,customer_state,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_state,product_category_name_english,delivery_days,is_late,purchase_dayofweek
4,delivered,397.26,8.0,credit_card,370.0,27.26,2.0,SP,42.0,858.0,1.0,1300.0,30.0,30.0,35.0,SP,sports_leisure,6.0,0,3
5,delivered,88.09,1.0,credit_card,79.79,8.3,1.0,SP,47.0,493.0,1.0,245.0,19.0,14.0,14.0,SP,computers_accessories,9.0,0,2
5,delivered,194.12,1.0,credit_card,149.0,45.12,1.0,BA,59.0,1893.0,1.0,6550.0,20.0,20.0,20.0,MG,computers_accessories,13.0,0,5
5,delivered,222.84,1.0,credit_card,179.99,42.85,1.0,SC,33.0,2188.0,2.0,7650.0,20.0,20.0,20.0,MG,garden_tools,10.0,0,6
5,delivered,1333.25,10.0,credit_card,1199.0,134.25,1.0,SC,48.0,562.0,5.0,9850.0,105.0,35.0,50.0,PR,sports_leisure,18.0,0,5
1,delivered,462.7,1.0,credit_card,418.70000000000005,44.0,4.0,SP,57.0,246.0,2.0,950.0,46.0,6.0,36.0,SP,bed_bath_table,5.0,0,4
1,delivered,462.7,1.0,credit_card,418.70000000000005,44.0,4.0,SP,57.0,246.0,2.0,950.0,46.0,6.0,36.0,MG,bed_bath_table,5.0,0,4
1,delivered,462.7,1.0,credit_card,418.70000000000005,44.0,4.0,SP,30.0,568.0,1.0,900.0,17.0,22.0,17.0,SP,bed_bath_table,5.0,0,4
1,delivered,462.7,1.0,credit_card,418.70000000000005,44.0,4.0,SP,30.0,568.0,1.0,900.0,17.0,22.0,17.0,MG,bed_bath_table,5.0,0,4
5,delivered,58.75,2.0,credit_card,46.9,11.85,1.0,SP,35.0,133.0,1.0,600.0,40.0,4.0,30.0,SP,bed_bath_table,14.0,0,4
5,delivered,198.96,3.0,credit_card,139.9,59.06,1.0,RJ,54.0,1213.0,9.0,8450.0,30.0,26.0,12.0,SP,toys,5.0,0,1
5,delivered,102.03,3.0,credit_card,89.9,12.13,1.0,SP,56.0,176.0,1.0,1825.0,53.0,10.0,40.0,SP,home_confort,8.0,0,0
4,delivered,613.25,8.0,credit_card,586.56,26.69,1.0,SP,60.0,3839.0,4.0,1450.0,24.0,24.0,24.0,RS,small_appliances,7.0,0,0
5,delivered,136.99,1.0,credit_card,119.99,17.0,1.0,MG,30.0,1024.0,1.0,887.0,30.0,22.0,20.0,SP,toys,8.0,0,2
5,delivered,682.5,1.0,boleto,609.5,73.0,5.0,MG,59.0,1367.0,1.0,250.0,22.0,6.0,11.0,SP,garden_tools,12.0,0,2
4,delivered,42.78,2.0,credit_card,35.0,7.78,1.0,SP,58.0,356.0,1.0,200.0,19.0,4.0,11.0,SP,health_beauty,3.0,0,0
