review_score,review_category,delivery_time_delta,delayed_days_ratio,is_late,actual_delivery_days,carrier_to_customer_time,num_items,avg_item_price,freight_ratio,total_order_value,product_category_name_english,product_volume,product_density,product_photos_qty,price_per_weight,seller_customer_same_state,purchase_day_of_week,weekend_purchase,purchase_hour,purchase_month,customer_state,seller_state,main_payment_type
4.0,1,-6.0,-0.5,0,6.0,145.5036111111111,1.0,29.99,0.2907635878626209,38.71,housewares,1976.0,0.25303643724696356,4.0,0.05998,1,0,0,10,10,SP,SP,voucher
4.0,1,-4.0,-0.3333333333333333,0,8.0,288.9458333333333,1.0,118.7,0.19174389216512217,141.46,perfumery,4693.0,0.08523332623055614,1.0,0.29675,0,1,0,20,7,BA,SP,boleto
5.0,1,-12.0,-0.631578947368421,0,7.0,220.2747222222222,1.0,159.9,0.12020012507817385,179.12,auto,9576.0,0.043859649122807015,1.0,0.3807142857142857,0,2,0,8,8,GO,SP,credit_card
5.0,1,-9.0,-0.47368421052631576,0,10.0,226.81194444444444,1.0,45.0,0.6044444444444445,72.2,pet_shop,6000.0,0.075,3.0,0.1,0,5,1,19,11,RN,MG,credit_card
5.0,1,-6.0,-0.6666666666666666,0,3.0,46.507777777777775,1.0,19.9,0.43819095477386943,28.619999999999997,stationery,11475.0,0.02178649237472767,4.0,0.07959999999999999,1,1,0,21,2,SP,SP,credit_card
4.0,1,-4.0,-0.25,0,12.0,355.9975,1.0,147.9,0.18498985801217038,175.26,auto,42250.0,0.16923076923076924,1.0,0.020685314685314687,0,6,1,21,7,PR,SP,credit_card
2.0,0,0.0,,0,7.0,0.0,1.0,49.9,0.32164328657314634,65.95,Unknown,18375.0,0.0326530612244898,0.0,0.08316666666666667,0,1,0,12,4,RS,SP,credit_card
5.0,1,-8.0,-0.5,0,8.0,98.8013888888889,1.0,59.99,0.2528754792465411,75.16,auto,4352.0,0.011488970588235295,1.0,1.1998,0,1,0,13,5,RJ,SP,credit_card
1.0,0,-22.0,-0.7857142857142857,0,6.0,167.86083333333335,1.0,19.9,0.806532663316583,35.95,furniture_decor,18375.0,0.0163265306122449,2.0,0.06633333333333333,0,0,0,18,1,RS,SP,boleto
5.0,1,-5.0,-0.29411764705882354,0,12.0,141.485,1.0,149.99,0.1318087872524835,169.76000000000002,office_furniture,72324.0,0.13481002156960345,1.0,0.015383589743589745,1,5,1,11,7,SP,SP,voucher
1.0,0,-7.0,-0.4375,0,9.0,263.6308333333333,2.0,99.0,0.30838383838383837,259.06,garden_tools,19656.0,0.45787545787545786,1.0,0.011,0,1,0,19,5,RJ,ES,credit_card
4.0,1,-14.0,-0.7777777777777778,0,4.0,115.35527777777777,1.0,98.0,0.16459183673469388,114.13,computers_accessories,9261.0,0.03509340244034122,1.0,0.30153846153846153,0,3,0,19,7,SP,RS,credit_card
5.0,1,-21.0,-0.7777777777777778,0,6.0,190.61444444444444,1.0,31.9,0.571473354231975,50.129999999999995,perfumery,4352.0,0.10340073529411764,1.0,0.07088888888888889,0,3,0,10,6,MG,SP,boleto
5.0,1,-7.0,-0.7,0,3.0,98.60694444444445,1.0,19.9,0.6432160804020102,32.7,bed_bath_table,2560.0,0.078125,1.0,0.09949999999999999,1,2,0,17,7,SP,SP,credit_card
4.0,1,-7.0,-0.5,0,7.0,242.45166666666665,1.0,38.25,0.42117647058823526,54.36,toys,8400.0,0.0694047619047619,2.0,0.0656089193825043,1,3,0,14,3,SP,SP,credit_card
5.0,1,-9.0,-0.5625,0,7.0,240.67555555555555,1.0,132.4,0.1061178247734139,146.45000000000002,perfumery,8000.0,0.01875,3.0,0.8826666666666667,0,3,0,19,6,GO,DF,credit_card
5.0,1,-11.0,-0.44,0,14.0,391.3305555555556,1.0,1299.0,0.05962278675904542,1376.45,construction_tools_construction,125000.0,0.1668,2.0,0.06230215827338129,0,1,0,19,1,RJ,SP,credit_card
5.0,1,-15.0,-0.625,0,9.0,268.05861111111113,1.0,27.99,0.5394783851375491,43.089999999999996,telephony,816.0,0.36764705882352944,6.0,0.0933,0,1,0,23,12,SC,SP,credit_card
5.0,1,-10.0,-0.7142857142857143,0,4.0,92.92611111111111,1.0,17.9,0.6620111731843575,29.75,bed_bath_table,4800.0,0.052083333333333336,1.0,0.0716,1,1,0,0,11,SP,SP,credit_card
4.0,1,-11.0,-0.55,0,9.0,312.5852777777778,1.0,76.0,0.2232894736842105,92.97,telephony,3344.0,0.097188995215311,1.0,0.23384615384615384,0,3,0,15,10,BA,SP,voucher
2.0,0,7.0,1.0,1,14.0,76.56194444444445,1.0,109.9,0.08152866242038218,118.86000000000001,health_beauty,4368.0,0.1201923076923077,6.0,0.20933333333333334,1,0,0,14,9,SP,SP,boleto
5.0,1,-8.0,-0.8,0,2.0,94.26222222222222,1.0,79.99,0.11138892361545194,88.89999999999999,health_beauty,3960.0,0.06313131313131314,3.0,0.31995999999999997,1,3,0,8,3,SP,SP,credit_card
3.0,0,-9.0,-0.75,0,3.0,65.605,1.0,9.5,0.8189473684210526,17.28,electronics,2800.0,0.07142857142857142,1.0,0.0475,1,5,1,20,2,SP,SP,credit_card
4.0,1,-18.0,-0.5625,0,14.0,42.26694444444445,1.0,129.99,0.44295715055004226,187.57,baby,81620.0,0.18316589071306053,1.0,0.008694983277591974,0,0,0,7,1,SC,SP,credit_card
5.0,1,-4.0,-0.8,0,1.0,77.92416666666666,1.0,89.9,0.15806451612903225,104.11000000000001,stationery,10725.0,0.055944055944055944,1.0,0.14983333333333335,1,3,0,11,8,SP,SP,boleto
2.0,0,7.0,0.5833333333333334,1,19.0,551.6422222222222,1.0,109.9,0.14131028207461327,125.43,cool_stuff,4224.0,0.11837121212121213,2.0,0.21980000000000002,0,1,0,23,2,RJ,SP,boleto
1.0,0,-22.0,-0.7096774193548387,0,9.0,265.9486111111111,2.0,65.2,0.7460122699386503,227.68,baby,65600.0,0.16692073170731708,1.0,0.0059543378995433795,0,0,0,0,6,BA,SP,credit_card
5.0,1,-5.0,-0.4166666666666667,0,7.0,209.58694444444444,1.0,47.9,0.2670146137787056,60.69,perfumery,1512.0,0.13227513227513227,4.0,0.2395,1,0,0,1,3,SP,SP,credit_card
4.0,1,-5.0,-0.35714285714285715,0,9.0,148.67333333333335,1.0,178.99,0.07648471981674954,192.68,watches_gifts,1632.0,0.17892156862745098,2.0,0.6129794520547945,1,2,0,11,5,SP,SP,credit_card
4.0,1,-13.0,-0.38235294117647056,0,21.0,697.0066666666667,1.0,30.1,1.1043189368770765,63.34,garden_tools,8000.0,0.10625,2.0,0.03541176470588236,0,6,1,13,2,RR,PR,credit_card
2.0,0,-3.0,-0.42857142857142855,0,4.0,22.881944444444443,1.0,279.0,0.1225448028673835,313.19,baby,98560.0,0.1669034090909091,1.0,0.01696048632218845,1,3,0,11,8,SP,SP,boleto
1.0,0,-6.0,-0.2857142857142857,0,15.0,407.3902777777778,1.0,186.9,0.20331728196896737,224.9,air_conditioning,5967.0,0.01675884028825205,4.0,1.869,0,0,0,21,4,PE,SP,credit_card
4.0,1,-3.0,-0.17647058823529413,0,14.0,449.7441666666667,1.0,49.0,0.28775510204081634,63.1,furniture_decor,8349.0,0.35932446999640677,2.0,0.01633333333333333,0,1,0,13,12,SP,PR,credit_card
5.0,1,-9.0,-0.4090909090909091,0,13.0,386.6838888888889,1.0,84.9,0.1808009422850412,100.25,toys,19166.0,0.041740582281122825,5.0,0.10612500000000001,0,5,1,12,2,RJ,SP,credit_card
5.0,1,-4.0,-0.8,0,1.0,32.09722222222222,1.0,179.0,0.05256983240223464,188.41,perfumery,4608.0,0.09223090277777778,1.0,0.4211764705882353,1,6,1,23,7,SP,SP,credit_card
5.0,1,0.0,0.0,0,21.0,649.9247222222223,1.0,78.0,0.37115384615384617,106.95,garden_tools,36000.0,0.02361111111111111,6.0,0.09176470588235294,0,5,1,15,2,TO,SP,credit_card
4.0,1,-12.0,-0.5,0,12.0,341.1094444444444,1.0,39.9,0.6739348370927318,66.78999999999999,electronics,4000.0,0.30175,6.0,0.033057166528583266,0,2,0,18,2,CE,SP,boleto
5.0,1,-10.0,-0.7142857142857143,0,4.0,122.86472222222223,1.0,27.9,0.5412186379928315,43.0,computers_accessories,2016.0,0.0992063492063492,2.0,0.13949999999999999,0,0,0,21,7,SP,MG,boleto
5.0,1,-21.0,-0.7,0,9.0,249.73111111111112,1.0,445.0,0.14195505617977527,508.17,health_beauty,9570.0,0.07136886102403343,1.0,0.6515373352855052,0,4,0,12,6,PE,PR,boleto
3.0,0,-5.0,-0.38461538461538464,0,8.0,196.80694444444444,1.0,36.9,0.34661246612466123,49.69,bed_bath_table,4800.0,0.14583333333333334,1.0,0.052714285714285714,1,0,0,17,3,SP,SP,credit_card
5.0,1,-8.0,-0.5,0,8.0,219.71083333333334,1.0,119.99,0.28502375197933166,154.19,garden_tools,8000.0,0.75625,1.0,0.01983305785123967,0,4,0,18,5,RJ,MG,credit_card
1.0,0,5.0,0.2777777777777778,1,23.0,357.755,1.0,339.0,0.05050147492625369,356.12,housewares,43928.0,0.3255326898561282,6.0,0.023706293706293707,0,4,0,21,11,SP,SC,credit_card
5.0,1,-14.0,-0.7,0,6.0,116.2775,1.0,69.9,0.3686695278969957,95.67,sports_leisure,10500.0,0.02676190476190476,5.0,0.24875444839857652,0,4,0,17,8,DF,SC,credit_card
4.0,1,-23.0,-0.8214285714285714,0,5.0,176.52833333333334,1.0,99.0,0.22848484848484849,121.62,stationery,21000.0,0.02142857142857143,3.0,0.22,0,5,1,23,8,BA,SP,debit_card
1.0,0,0.0,,0,7.0,0.0,1.0,14.49,0.5431331953071084,22.36,health_beauty,6300.0,0.01984126984126984,1.0,0.11592,1,0,0,16,6,SP,SP,boleto
1.0,0,-9.0,-0.5625,0,7.0,240.76166666666666,1.0,139.0,0.10589928057553957,153.72,garden_tools,24080.0,0.36856312292358806,4.0,0.015661971830985916,0,3,0,13,5,RJ,ES,credit_card
4.0,1,-12.0,-0.6,0,8.0,216.94583333333333,1.0,36.9,0.48563685636856374,54.82,sports_leisure,4800.0,0.13541666666666666,1.0,0.056769230769230766,0,6,1,20,5,BA,SP,credit_card
5.0,1,-4.0,-0.8,0,1.0,74.33638888888889,1.0,69.9,0.17782546494992846,82.33000000000001,furniture_decor,15000.0,0.17333333333333334,6.0,0.026884615384615385,1,3,0,16,5,SP,SP,credit_card
5.0,1,-7.0,-0.7,0,3.0,80.36972222222222,1.0,33.9,0.5410029498525074,52.239999999999995,sports_leisure,5508.0,0.20878721859114016,2.0,0.029478260869565218,0,6,1,11,7,RS,SP,credit_card
5.0,1,-11.0,-0.7857142857142857,0,3.0,119.40333333333334,1.0,115.0,0.13530434782608697,130.56,books_general_interest,8000.0,0.05625,1.0,0.25555555555555554,0,2,0,20,8,SP,SC,boleto
5.0,1,-7.0,-0.5,0,7.0,186.47583333333333,1.0,39.47,0.33873828223967567,52.839999999999996,construction_tools_construction,1936.0,0.878099173553719,2.0,0.02321764705882353,1,3,0,14,2,SP,SP,boleto
5.0,1,-13.0,-0.7647058823529411,0,4.0,149.29611111111112,1.0,53.44,0.3456212574850299,71.91,small_appliances,8976.0,0.04567736185383244,6.0,0.13034146341463415,0,1,0,13,6,PR,RS,boleto
1.0,0,-12.0,-0.8,0,3.0,106.38194444444444,2.0,60.0,0.25866666666666666,151.04,sports_leisure,2420.0,0.04132231404958678,2.0,0.6,0,3,0,14,7,RS,SP,credit_card
4.0,1,-9.0,-0.4090909090909091,0,13.0,373.1922222222222,1.0,369.0,0.04696476964769647,386.33,watches_gifts,2618.0,0.15049656226126815,2.0,0.9365482233502538,0,4,0,0,12,RJ,SP,credit_card
5.0,1,-12.0,-0.8571428571428571,0,2.0,96.89472222222223,1.0,38.4,0.30859375,50.25,furniture_decor,14000.0,0.06785714285714285,1.0,0.04042105263157895,1,3,0,8,8,SP,SP,credit_card
5.0,1,-19.0,-0.76,0,6.0,107.47027777777778,1.0,119.9,0.0732276897414512,128.68,perfumery,4693.0,0.08523332623055614,1.0,0.29975,1,0,0,10,6,RJ,RJ,credit_card
