customer_id,customer_zip_code_prefix,customer_city,customer_state,customer_state_encoded,customer_city_encoded
CUS_1,14409,franca,SP,25,1382
CUS_2,9790,sao bernardo do campo,SP,25,3428
CUS_3,1151,sao paulo,SP,25,3597
CUS_4,8775,mogi das cruzes,SP,25,2341
CUS_5,13056,campinas,SP,25,707
CUS_6,89254,jaragua do sul,SC,23,1936
CUS_7,4534,sao paulo,SP,25,3597
CUS_8,35182,timoteo,MG,10,3865
CUS_9,81560,curitiba,PR,17,1143
CUS_10,30575,belo horizonte,MG,10,453
CUS_11,39400,montes claros,MG,10,2386
CUS_12,20231,rio de janeiro,RJ,18,3155
CUS_13,18682,lencois paulista,SP,25,2089
CUS_14,5704,sao paulo,SP,25,3597
CUS_15,95110,caxias do sul,RS,22,900
CUS_16,13412,piracicaba,SP,25,2867
CUS_17,22750,rio de janeiro,RJ,18,3155
CUS_18,7124,guarulhos,SP,25,1529
CUS_19,5416,sao paulo,SP,25,3597
CUS_20,68485,pacaja,PA,13,2617
CUS_21,88034,florianopolis,SC,23,1358
CUS_22,74914,aparecida de goiania,GO,8,208
CUS_23,5713,sao paulo,SP,25,3597
CUS_24,82820,curitiba,PR,17,1143
CUS_25,8225,sao paulo,SP,25,3597
CUS_26,9121,santo andre,SP,25,3375
CUS_27,74310,goiania,GO,8,1445
CUS_28,4571,sao paulo,SP,25,3597
CUS_29,29311,cachoeiro de itapemirim,ES,7,632
CUS_30,5528,sao paulo,SP,25,3597
CUS_31,12235,sao jose dos campos,SP,25,3554
CUS_32,18130,sao roque,SP,25,3614
CUS_33,42800,camacari,BA,4,675
CUS_34,27525,resende,RJ,18,3100
CUS_35,81750,curitiba,PR,17,1143
CUS_36,13175,sumare,SP,25,3765
CUS_37,7170,guarulhos,SP,25,1529
CUS_38,93415,novo hamburgo,RS,22,2552
CUS_39,65075,sao luis,MA,9,3566
CUS_40,88104,sao jose,SC,23,3520
CUS_41,7176,guarulhos,SP,25,1529
CUS_42,35960,santa barbara,MG,10,3259
CUS_43,5727,sao paulo,SP,25,3597
CUS_44,7053,guarulhos,SP,25,1529
CUS_45,14026,ribeirao preto,SP,25,3132
CUS_46,30320,belo horizonte,MG,10,453
CUS_47,38300,ituiutaba,MG,10,1859
CUS_48,18740,taquarituba,SP,25,3817
CUS_49,83085,sao jose dos pinhais,PR,17,3556
CUS_50,89254,jaragua do sul,SC,23,1936
CUS_51,5351,sao paulo,SP,25,3597
CUS_52,39406,montes claros,MG,10,2386
CUS_53,14860,barrinha,SP,25,422
CUS_54,21310,rio de janeiro,RJ,18,3155
CUS_55,23970,parati,RJ,18,2700
